text,pred_tuples_zero_shot,pred_tuples_few_shot
"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these.  Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions!  I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo.  Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out.  They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass.  I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone.  Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too.  Guess I’m going to have to pay more.  Ugh.","[('binoculars', 'smell', 'reek of gasoline', -1.0), ('phone adapter', 'quality', 'useless', -1.0), ('phone adapter', 'instructions', 'does not come with', -1.0), ('tripod', 'quality', 'useless', -1.0), ('ios', 'stability', 'would not trust', -1.0), ('binoculars', 'quality', 'average', 0.0), ('binoculars', 'quality', 'huge hard pass', -1.0), ('binoculars', 'quality', 'decent', 1.0), ('phone adapter', 'quality', 'better', 1.0), ('tripod', 'quality', 'better', 1.0)]","[('binoculars', 'smell', 'reek of gasoline', -1.0), ('phone adapter', 'quality', 'useless', -1.0), ('phone adapter', 'instructions', 'does not come with', -1.0), ('tripod', 'quality', 'useless', -1.0), ('tripod', 'efficiency', 'inefficient', -1.0), ('binoculars', 'quality', 'average', -0.5), ('binoculars', 'film quality', 'missing', -1.0), ('binoculars', 'value', 'huge hard pass', -1.0), ('accessories', 'quality', 'as good or better', 1.0)]"
"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.","[('lenses', 'quality', ""didn't work"", -1.0), ('shipping', 'null', 'damaged', -1.0), ('lenses', 'quality', 'loose', -1.0), ('lenses', 'quality', 'broken', -1.0)]","[('lenses', 'quality', 'loose', -1.0), ('lenses', 'quality', 'broken', -1.0), ('shipping', 'null', 'damaged', -1.0)]"
"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.","[('ear bud inserts', 'size', 'fit great', 1.0), ('ear bud inserts', 'null', 'cause ear pain', -1.0), ('charger', 'null', 'null', 0.0), ('carry case', 'null', 'null', 0.0), ('cables', 'color', 'hard to figure out', -1.0)]","[('ear buds', 'null', 'love', 1.0), ('ear buds', 'null', 'great', 1.0), ('ear buds', 'cables', 'right', 1.0), ('ear buds', 'cables', 'black', -0.5), ('ear buds', 'colors', 'bright', 1.0), ('charger', 'null', 'null', 0.0), ('carry case', 'null', 'null', 0.0)]"
"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.","[('backpack', 'sturdiness', 'great', 1.0), ('backpack', 'build', 'solid', 1.0), ('backpack', 'compartments', 'ton', 1.0), ('backpack', 'size', 'larger', -1.0), ('backpack', 'comfort', 'comfortable', 1.0), ('backpack', 'design', 'convenience', 1.0), ('backpack', 'null', 'great', 1.0)]","[('backpack', 'sturdy', 'great', 1.0), ('backpack', 'solidly built', 'great', 1.0), ('backpack', 'traveler-friendly', 'great', 1.0), ('backpack', 'compartments', 'many', 1.0), ('backpack', 'size', 'larger', -0.5), ('backpack', 'comfortable', 'great', 1.0), ('backpack', 'stands upright', 'love', 1.0), ('backpack', 'convenience', 'great', 1.0)]"
I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,"[('headphones', 'null', 'love them so much', 1.0), ('headphones', 'null', 'find ways to break', -1.0), ('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'price', 'null', 1.0)]","[('headphones', 'null', 'love', 1.0), ('headphones', 'null', 'favorite', 1.0), ('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'price', 'null', 1.0), ('warranty', 'null', ""can't use"", -1.0)]"
"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s  so light and works great! It’s really quiet also!!!","[('charger', 'weight', 'totally awesome', 1.0), ('charger', 'noise', 'really quiet', 1.0), ('charger', 'accessories', ""doesn't come with a charging base"", -1.0), ('charger', 'portability', 'works great', 1.0)]","[('charger', 'weight', 'light', 1.0), ('charger', 'noise', 'quiet', 1.0), ('charger', 'feature', 'awesome', 1.0)]"
Update 2-they sent a new warranty replacement. Good company.<br />Update-  was 5 star until they left headphone died after 1.5 years.  Will contact support.<br />old:<br />love them.  a bit noisy when you're jogging.  but solid for biking or chilling around the house,"[('company', 'null', 'good company', 1.0), ('company', 'null', 'good', 1.0), ('headphones', 'null', 'solid', 1.0), ('headphones', 'null', 'a bit noisy', -1.0), ('headphones', 'null', 'love them', 1.0)]","[('company', 'null', 'good', 1.0), ('headphone', 'null', 'died', -1.0), ('headphone', 'noise', 'noisy', -0.8), ('headphone', 'quality', 'solid', 0.8)]"
These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,"[('headphones', 'range', 'fantastic', 1.0), ('headphones', 'null', 'love', 1.0), ('headphones', 'null', 'great', 1.0), ('headphones', 'null', 'comfortable', 1.0), ('headphones', 'null', 'stay on', 1.0), ('headphones', 'null', 'wonderful', 1.0), ('customer service', 'null', 'wonderful', 1.0), ('product', 'null', 'great', 1.0)]","[('headphones', 'range', 'fantastic', 1.0), ('headphones', 'range', ""about 30'"", 0.8), ('headphones', 'connection', 'will disconnect', -1.0), ('headphones', 'connection', 'reconnect', 1.0), ('headphones', 'comfort', 'comfortable', 1.0), ('headphones', 'staying on', 'stay on', 1.0), ('headphones', 'product', 'great', 1.0), ('customer service', 'service', 'wonderful', 1.0), ('product', 'null', 'really great', 1.0), ('product', 'null', 'will continue to purchase', 1.0), ('product', 'null', 'recommend', 1.0)]"
pretty good for the price.,"[('product', 'price', 'pretty good', 1.0)]","[('price', 'null', 'good', 0.7)]"
yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices.,"[('it', 'null', 'so good', 1.0), ('it', 'null', 'just buy it', 1.0), ('it', 'null', 'my favorite feature', 1.0), ('it', 'null', 'auto connects', 1.0), ('it', 'null', 'remembers my devices', 1.0)]","[('it', 'null', 'good', 1.0), ('it', 'null', 'favorite', 1.0), ('it', 'null', 'auto connects', 1.0), ('it', 'null', 'remembers', 1.0), ('it', 'null', 'devices', 1.0)]"
