text,pred_tuples_zero_shot,pred_tuples_few_shot
"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these.  Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions!  I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo.  Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out.  They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass.  I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone.  Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too.  Guess I’m going to have to pay more.  Ugh.","[('binoculars', 'smell', 'reek of gasoline', -1.0), ('phone adapter', 'functionality', 'useless', -1.0), ('tripod', 'stability', 'useless', -1.0), ('tripod', 'quality', 'inefficient', -1.0), ('binoculars', 'lens quality', 'missing film', -1.0), ('accessories', 'quality', 'inferior', -1.0)]","[('binoculars', 'film costing', 'missing', -1.0), ('phone adapter', 'drilled', 'not drilled far enough', -1.0), ('tripod', 'useless', 'useless', -1.0), ('binoculars', 'quality', 'average', 0.0), ('binoculars', 'lenses', 'missing about 10% of the film costing', -1.0), ('binoculars', 'quality', 'very huge hard pass', -1.0), ('binoculars', 'quality', 'defect', -1.0), ('binoculars', 'quality', 'better quality', 1.0)]"
"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.","[('lenses', 'stability', 'loose', -1.0), ('lenses', 'completeness', 'half lens missing', -1.0)]","[('lenses', 'null', 'were loose', -1.0), ('lenses', 'null', 'missing', -1.0)]"
"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.","[('earbuds', 'carry case', 'comes with', 0.0), ('earbuds', 'ear bud inserts', 'several sizes', 0.0), ('earbuds', 'smallest buds', 'fit great', 1.0), ('earbuds', 'charger', 'comes with', 0.0), ('earbuds', 'carry case', 'fits all', 1.0), ('earbuds', 'colors', 'wish more', -1.0), ('earbuds', 'cables', 'hard to identify', -1.0)]","[('ear buds', 'null', 'love', 1.0), ('ear buds', 'carry case', 'come with', 0.5), ('ear buds', 'sizes of ear bud inserts', 'several', 0.5), ('ear buds', 'ear pain', 'fit great', 1.0), ('ear buds', 'charger', 'have', 0.5), ('ear buds', 'colors', 'preferably something bright', 0.8), ('cables', 'color', 'black', -0.5), ('cables', 'color', 'white', -0.3)]"
"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.","[('backpack', 'sturdiness', 'great', 1.0), ('backpack', 'build quality', 'solidly built', 1.0), ('backpack', 'traveler-friendly', 'traveler-friendly', 1.0), ('backpack', 'compartments', 'many compartments', 1.0), ('backpack', 'size', 'slightly larger', 0.0), ('backpack', 'comfort', 'comfortable', 1.0), ('backpack', 'standing upright', 'stands upright', 1.0), ('backpack', 'convenience', 'convenient', 1.0)]","[('backpack', 'sturdy', 'great', 1.0), ('backpack', 'built', 'solidly', 1.0), ('backpack', 'compartments', 'tons', 1.0), ('backpack', 'comfortable', 'comfortable', 1.0), ('backpack', 'stands upright', 'love', 1.0)]"
I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,"[('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'null', 'favorite', 1.0)]","[('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'null', 'love them so much', 1.0)]"
"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s  so light and works great! It’s really quiet also!!!","[('it', 'light weight', 'awesome', 1.0), ('it', 'quiet', 'great', 1.0), ('it', 'null', 'works great', 1.0)]","[('it', 'weight', 'light', 1.0), ('it', 'noise', 'quiet', 1.0), ('it', 'performance', 'works great', 1.0), ('it', 'accessories', 'doesn’t come with a charging base', -0.5), ('it', 'charging', 'can plug it into a phone charger or portable charger', 0.5)]"
Update 2-they sent a new warranty replacement. Good company.<br />Update-  was 5 star until they left headphone died after 1.5 years.  Will contact support.<br />old:<br />love them.  a bit noisy when you're jogging.  but solid for biking or chilling around the house,"[('company', 'null', 'good company', 1.0), ('headphone', 'durability', 'died after 1.5 years', -1.0), ('headphone', 'null', 'love them', 1.0), ('headphone', 'noise level', 'a bit noisy', -0.5), ('headphone', 'suitability', 'solid for biking', 1.0), ('headphone', 'suitability', 'solid for chilling', 1.0)]","[('company', 'null', 'good', 1.0), ('warranty replacement', 'null', 'sent a new', 0.8), ('headphone', 'null', 'died', -1.0), ('product', 'noise', 'noisy', -0.5), ('product', 'solid', 'solid', 1.0), ('product', 'comfort', 'chilling around the house', 1.0)]"
These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,"[('headphones', 'range', 'good range', 0.8), ('headphones', 'disconnection', 'disconnects well', 0.7), ('headphones', 'cordless', 'love cordless', 0.9), ('headphones', 'comfort', 'very comfortable', 0.9), ('headphones', 'stay on', 'stay on well', 0.8), ('headphones', 'pause feature', 'love pause feature', 0.9), ('customer service', 'null', 'wonderful service', 0.9), ('headphones', 'null', 'fantastic product', 0.9)]","[('headphones', 'range', ""about 30'"", 0.0), ('headphones', 'disconnection', 'will disconnect if i go outside and then reconnect when i get close to my phone again', 0.0), ('headphones', 'connection', 'will stay connected where ever i go', 1.0), ('headphones', 'comfort', 'comfortable', 1.0), ('headphones', 'staying on', 'stay on really well', 1.0), ('headphones', 'staying on', 'stayed on as well', 1.0), ('customer service', 'null', 'wonderful and understanding', 1.0), ('headphones', 'product', 'really great product', 1.0)]"
pretty good for the price.,"[('price', 'null', 'pretty good', 0.7)]","[('product', 'null', 'pretty good', 0.6)]"
yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices.,"[('it', 'null', 'so good', 1.0), ('it', 'null', 'just buy', 1.0), ('it', 'auto connects and remembers my devices', 'favorite feature', 1.0)]","[('device', 'auto connects and remembers my devices', 'favorite feature', 1.0)]"
