text,pred_tuples_zero_shot,pred_tuples_few_shot
"First & most offensive: they reek of gasoline so if you are sensitive/allergic to petroleum products like I am you will want to pass on these.  Second: the phone adapter is useless as-is. Mine was not drilled far enough to be able to tighten it into place for my iPhone 12 max. It just slipped & slid all over. Stupid me putting the adapter together first without picking up the binoculars to smell them bc I wasted 15 minutes trying to figure out how to put the adapter together bc it does not come with instructions!  I had to come back here to the website which was a total pain. Third: the tripod is also useless. I would not trust the iOS to hold my $1600 phone nor even a Mattel Barbie for that matter. It’s just inefficient for the job imo.  Third: in order to try to give an honest review I did don gloves & eyewear to check the binoculars out.  They seemed average except for mine seemed to be missing about 10% of the film costing in the lower edge of one of the lenses which would have ruined every video & photograph unplanned to take so for me these are a very huge hard pass.  I expect the accessories that come with the main product to be as good or better than the product I’m buying. Otherwise I would just buy the product as a stand alone.  Sadly, I found a decent pair of binoculars last year with a much better quality phone adapter & tripod, but they had a defect too.  Guess I’m going to have to pay more.  Ugh.","[('binoculars', 'smell', 'reek of gasoline', -1.0), ('phone adapter', 'functionality', 'useless as-is', -1.0), ('phone adapter', 'design', 'not drilled far enough', -1.0), ('tripod', 'reliability', 'useless', -1.0), ('binoculars', 'quality', 'seemed average', 0.0), ('binoculars', 'durability', 'missing film', -1.0), ('accessories', 'quality', 'as good or better', 1.0)]","[('binoculars', 'smell', 'reek of gasoline', -1.0), ('phone adapter', 'functionality', 'useless as-is', -1.0), ('phone adapter', 'design', 'not drilled far enough', -0.7), ('tripod', 'stability', 'useless', -1.0), ('binoculars', 'lens', 'missing film', -0.8), ('binoculars', 'quality', 'average', 0.0), ('accessories', 'quality', 'as good or better', 0.8)]"
"These didn’t work. Idk if they were damaged in shipping or what, but the lenses were loose or something. I could see half a lens with its edge in the frame and the rest was missing. It looked like it came loose or was broken.","[('lenses', 'condition', 'were loose', -0.8), ('lenses', 'condition', 'came loose', -0.7), ('lenses', 'condition', 'was broken', -0.9)]","[('lenses', 'null', 'loose or something', -0.7), ('lenses', 'null', 'came loose or broken', -0.8)]"
"I love these. They even come with a carry case and several sizes of ear bud inserts. Thank heaven!  I get ear pain from most, but the smallest buds fit great.  They also have a charger and all of it fits in the carry case. I just wish they came in more colors preferably something bright!  When I leave them on my nightstand it takes a while to figure out which of half a dozen black cables are the right ones. Even white would be ok as only my iPhone has a white cord.","[('ear bud inserts', 'size', 'fit great', 1.0), ('ear buds', 'null', 'love these', 1.0), ('carry case', 'null', 'thank heaven', 1.0), ('ear buds', 'color', 'wish they came', -0.5), ('cables', 'color', 'figure out which', -0.5)]","[('ear buds', 'carry case', 'come with', 0.8), ('ear buds', 'ear bud inserts', 'several sizes', 0.6), ('ear buds', 'fit', 'fit great', 0.9), ('ear buds', 'charger', 'have a charger', 0.7), ('ear buds', 'colors', 'more colors', -0.6), ('ear buds', 'cables', 'half a dozen black cables', -0.5)]"
"I was searching for a sturdy backpack for school that would allow me to carry my laptop as well as schoolbooks. After reading many of the reviews of this bag, I placed my order and crossed my fingers. I shouldn't have worried; it's a great bag! Solidly built and traveler-friendly with a ton of compartments for every little thing one might need to stow away. While this backpack is slightly larger than your average backpack, it is comfortable to wear trekking cross campus. Also, another aspect of this bag that I love is that it stands upright. I know that sounds kinda crazy, but I find it annoying when your backpack flops over next to your desk and stuff kind of just falls out, or if you need to grab something quickly out of the bag you have to awkwardly curl your body around the side of your chair and then on the way up, smash your head against the desk. So yeah, lazy girl (points to self) loves the convenience of a bag that stands upright for easy grabbage. I plan to travel with this backpack when I fly home this Christmas instead of bringing a bulky tote bag on the plane.","[('backpack', 'sturdiness', 'great bag', 0.8), ('backpack', 'traveler-friendly', 'traveler-friendly', 0.7), ('backpack', 'compartments', 'ton of compartments', 0.7), ('backpack', 'size', 'slightly larger', 0.0), ('backpack', 'comfort', 'comfortable to wear', 0.7), ('backpack', 'standing upright', 'stands upright', 0.8), ('backpack', 'convenience', 'easy grabbage', 0.8)]","[('backpack', 'sturdiness', 'sturdy', 0.8), ('backpack', 'size', 'slightly larger', 0.0), ('backpack', 'comfort', 'comfortable to wear', 0.7), ('backpack', 'compartments', 'a ton of compartments', 0.8), ('backpack', 'standing upright', 'stands upright', 0.9), ('backpack', 'convenience', 'easy grabbage', 0.8)]"
I've bought these headphones three times because I love them so much and overuse them and find ways to break the plug to where I can't use my warranty. The sound and bass are awesome. Hands down my favorite headphones in this price bracket.,"[('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'null', 'favorite headphones', 1.0)]","[('headphones', 'sound', 'awesome', 1.0), ('headphones', 'bass', 'awesome', 1.0), ('headphones', 'null', 'favorite', 1.0)]"
"Light weight, quiet and totally awesome!!! It doesn’t come with a charging base, but the cord ends in a USB so you can plug it into a phone charger or portable charger. Anything with USB! It’s  so light and works great! It’s really quiet also!!!","[('it', 'weight', 'light weight', 1.0), ('it', 'noise', 'quiet', 1.0), ('it', 'null', 'totally awesome', 1.0), ('it', 'charging base', 'doesn’t come with', -0.5), ('it', 'null', 'works great', 1.0), ('it', 'noise', 'really quiet', 1.0)]","[('product', 'weight', 'light weight', 0.8), ('product', 'noise', 'quiet', 0.8), ('product', 'null', 'awesome', 1.0), ('product', 'charging base', 'doesn’t come with', -0.5), ('product', 'null', 'works great', 0.8), ('product', 'noise', 'really quiet', 0.8)]"
Update 2-they sent a new warranty replacement. Good company.<br />Update-  was 5 star until they left headphone died after 1.5 years.  Will contact support.<br />old:<br />love them.  a bit noisy when you're jogging.  but solid for biking or chilling around the house,"[('company', 'null', 'good company', 0.8), ('headphone', 'null', 'died after', -0.8), ('headphone', 'null', '5 star', 1.0), ('headphone', 'null', 'a bit noisy', -0.5)]","[('company', 'null', 'good company', 0.8), ('headphone', 'null', 'died', -0.8), ('headphone', 'null', '5 star', 1.0), ('headphone', 'null', 'noisy', -0.6), ('headphone', 'null', 'solid', 0.7)]"
These are fantastic headphones and I love that i can have my cell phone plugged in at a central location in my house and walk around the house and still listen to music or my book. the range for me is about 30' and the headphones will disconnect if i go outside and then reconnect when i get close to my phone again. If my phone is in my pocket it will stay connected where ever i go. I love listening to things without being attached or tethered to my phone. It also makes it harder for my kids to pull the earphones out of my ears when there is no long cord attached to my phone. I love the 1 click pause feature so i can quickly pause what i am listening to talk to someone (i don't have to go find my phone and swipe and pause). They are comfortable and stay on really well for my ears. I have taken them running and they stayed on as well. I had an issue about 1 year after I bought the headphones and the customer service was wonderful and understanding. really great product and I will continue to purchase and recommend these to my friends.,"[('headphones', 'null', 'fantastic headphones', 1.0), ('headphones', 'range', ""about 30'"", 0.0), ('headphones', 'connectivity', 'disconnect outside', -0.5), ('headphones', 'connectivity', 'reconnect when close', 0.5), ('headphones', 'connectivity', 'stay connected', 1.0), ('headphones', 'cord', 'no long cord', 1.0), ('headphones', 'pause feature', '1 click pause', 1.0), ('headphones', 'comfort', 'comfortable and stay on', 1.0), ('headphones', 'durability', 'stayed on running', 1.0), ('customer service', 'null', 'wonderful and understanding', 1.0)]","[('headphones', 'range', ""about 30'"", 0.7), ('headphones', 'connectivity', 'disconnect', -0.5), ('headphones', 'connectivity', 'stay connected', 0.8), ('headphones', 'cord', 'no long cord', 0.7), ('headphones', 'pause feature', '1 click pause', 0.9), ('headphones', 'comfort', 'comfortable', 0.8), ('headphones', 'fit', 'stay on', 0.9), ('headphones', 'customer service', 'wonderful and understanding', 0.9)]"
pretty good for the price.,"[('null', 'price', 'pretty good', 0.6)]","[('null', 'null', 'pretty good', 0.6)]"
yes.. so good.  just buy it. my favorite feature is it auto connects and remembers my devices.,"[('it', 'null', 'so good', 1.0), ('it', 'auto connects and remembers my devices', 'favorite feature', 1.0)]","[('product', 'null', 'so good', 1.0), ('product', 'auto connects and remembers devices', 'favorite feature', 1.0)]"
